t[sec];q1[m3/h];h1[m];h2[m];q2_measurement[m3/h]
0;0;0;0;-0,000905047
0,5;0;0;0;-0,001211097
1;0;0;0;0,000359066
1,5;0;0;0;0,000722552
2;0;0;0;4,06482E-05
2,5;0;0;0;-0,000658785
3;0;0;0;0,000499296
3,5;0;0;0;0,000840585
4;0;0;0;0,000500496
4,5;0;0;0;-0,002289072
5;0;0;0;0,000573554
5,5;0;0;0;-0,001720113
6;0;0;0;0,001051054
6,5;0;0;0;0,000619577
7;0;0;0;-0,000787692
7,5;0;0;0;0,001160038
8;0;0;0;-0,001095572
8,5;0;0;0;-0,000419494
9;0;0;0;-0,001258778
9,5;0;0;0;-0,001108224
10;0;0;0;3,67857E-05
10,5;0;0;0;0,000870115
11;0;0;0;-0,002399621
11,5;0;0;0;0,001083163
12;0;0;0;0,000467339
12,5;0;0;0;-0,000973104
13;0;0;0;-0,001654584
13,5;0;0;0;-0,000437137
14;0;0;0;0,000961506
14,5;0;0;0;0,000414996
15;0;0;0;0,000494245
15,5;0;0;0;-8,04176E-05
16;0;0;0;0,000375306
16,5;0;0;0;0,000576143
17;0;0;0;-0,001057334
17,5;0;0;0;-3,07282E-05
18;0;0;0;0,001069973
18,5;0;0;0;0,000944932
19;0;0;0;-0,001308157
19,5;0;0;0;-0,001206016
20;0;0;0;0,000505053
20,5;0;0;0;-0,000218965
21;0;0;0;-0,000130096
21,5;0;0;0;0,000379296
22;0;0;0;0,000489526
22,5;0;0;0;-0,000362066
23;0;0;0;-0,002897115
23,5;0;0;0;0,000299333
24;0;0;0;-0,000307596
24,5;0;0;0;0,000797506
25;0,02;0;0;-0,001085616
25,5;0,02;0,01;0;0,000863693
26;0,02;0,0185;0,0075;0,00099304
26,5;0,02;0,02685;0,01575;0,003430046
27;0,02;0,035185;0,013249682;0,006045059
27,5;0,02;0,041894702;0,014013795;0,006194891
28;0,02;0,047712566;0,020536067;0,00618162
28,5;0,02;0,053636091;0,026120957;0,00712345
29;0,02;0,059508821;0,028844294;0,008787475
29,5;0,02;0,064909142;0,031640216;0,007038084
30;0,02;0,069918803;0,0353624;0,009160549
30,5;0,02;0,074735343;0,039045082;0,009349351
31;0,02;0,079381804;0,042306661;0,010507193
31,5;0,02;0,083820532;0,045413233;0,010904237
32;0,02;0,088059437;0,048507978;0,010108875
32,5;0,02;0,092126718;0,051533597;0,010675232
33;0,02;0,09603775;0,054447779;0,011417124
33,5;0,02;0,099799255;0,057263992;0,011477785
34;0,02;0,103418965;0,059997879;0,011939989
34,5;0,02;0,106905802;0,062651324;0,011750416
35;0,02;0,11026763;0,065224102;0,013069409
35,5;0,02;0,113511101;0,06771894;0,012247979
36;0,02;0,116642277;0,070139299;0,012518753
36,5;0,02;0,11966683;0,072487954;0,014002057
37;0,02;0,122589999;0,07476733;0,013259717
37,5;0,02;0,125416598;0,076979848;0,013111064
38;0,02;0,128151086;0,079127892;0,015111955
38,5;0,02;0,130797607;0,081213734;0,013317651
39;0,02;0,133360026;0,083239538;0,014877408
39,5;0,02;0,135841953;0,085207375;0,013949454
40;0,02;0,138246766;0,087119229;0,015741781
40,5;0,02;0,140577636;0,088977004;0,014433786
41;0,02;0,142837541;0,090782519;0,014086149
41,5;0,02;0,145029288;0,092537519;0,016983242
42;0,02;0,147155522;0,094243673;0,014002197
42,5;0,02;0,149218745;0,095902585;0,013877403
43;0,02;0,151221321;0,097515789;0,016236739
43,5;0,02;0,153165491;0,09908476;0,016817455
44;0,02;0,155053381;0,100610911;0,015541058
44,5;0,02;0,156887011;0,102095599;0,014793656
45;0,02;0,158668299;0,103540129;0,015519956
45,5;0,02;0,160399074;0,104945754;0,016245723
46;0,02;0,162081076;0,106313679;0,01478766
46,5;0,02;0,163715966;0,107645061;0,014709515
47;0,02;0,16530533;0,108941017;0,016691582
47,5;0,02;0,166850683;0,110202619;0,015482428
48;0,02;0,168353474;0,1114309;0,017993582
48,5;0,02;0,169815088;0,112626855;0,015374257
49;0,02;0,171236853;0,113791446;0,015518369
49,5;0,02;0,172620042;0,114925595;0,01657503
50;0,02;0,173965875;0,116030195;0,017792769
50,5;0,02;0,175275523;0,117106108;0,014619234
51;0,02;0,17655011;0,118154162;0,017119513
51,5;0,02;0,177790718;0,119175161;0,019789996
52;0,02;0,178998385;0,120169879;0,016133654
52,5;0,02;0,180174109;0,121139064;0,017018495
53;0,02;0,181318852;0,122083438;0,01736187
53,5;0,02;0,18243354;0,123003702;0,01806877
54;0,02;0,183519064;0,12390053;0,016606946
54,5;0,02;0,184576284;0,124774576;0,019640651
55;0,02;0,185606028;0,125626473;0,017778567
55,5;0,02;0,186609095;0,126456833;0,018103061
56;0,02;0,187586256;0,127266248;0,016869536
56,5;0,02;0,188538254;0,128055292;0,016453215
57;0,02;0,18946581;0,12882452;0,018565323
57,5;0,02;0,190369616;0,12957447;0,017450444
58;0,02;0,191250344;0,130305664;0,01723226
58,5;0,02;0,192108642;0,131018607;0,018111275
59;0,02;0,192945137;0,131713789;0,017470785
59,5;0,02;0,193760435;0,132391684;0,018491475
60;0,02;0,194555122;0,133052754;0,019484112
60,5;0,02;0,195329767;0,133697445;0,017776192
61;0,02;0,196084919;0,13432619;0,018921762
61,5;0,02;0,196821109;0,13493941;0,01768525
62;0,02;0,197538855;0,135537513;0,0167653
